date,region,price
2022-09-19,PADD 3,3.175
2022-09-19,PADD 4,3.877
2022-09-19,PADD 5,4.512
2022-09-26,PADD 1,3.399
2022-09-26,PADD 2,3.586
2022-09-26,PADD 3,3.163
2022-09-26,PADD 4,3.919
2022-09-26,PADD 5,4.792
2022-10-03,PADD 1,3.315
2022-10-03,PADD 2,3.67
2022-10-03,PADD 3,3.138
2022-10-03,PADD 4,3.874
2022-10-03,PADD 5,5.132
2022-10-10,PADD 1,3.434
2022-10-10,PADD 2,3.811
2022-10-10,PADD 3,3.346
2022-10-10,PADD 4,3.947
2022-10-10,PADD 5,5.175
2022-10-17,PADD 1,3.47
2022-10-17,PADD 2,3.72
2022-10-17,PADD 3,3.354
2022-10-17,PADD 4,3.917
2022-10-17,PADD 5,5.046
2022-10-24,PADD 1,3.427
2022-10-24,PADD 2,3.618
2022-10-24,PADD 3,3.268
2022-10-24,PADD 4,3.845
2022-10-24,PADD 5,4.864
2022-10-31,PADD 1,3.406
2022-10-31,PADD 2,3.578
2022-10-31,PADD 3,3.226
2022-10-31,PADD 4,3.789
2022-10-31,PADD 5,4.757
2022-11-07,PADD 1,3.475
2022-11-07,PADD 2,3.699
2022-11-07,PADD 3,3.215
2022-11-07,PADD 4,3.76
2022-11-07,PADD 5,4.675
2022-11-14,PADD 1,3.515
2022-11-14,PADD 2,3.618
2022-11-14,PADD 3,3.184
2022-11-14,PADD 4,3.713
2022-11-14,PADD 5,4.656
2022-11-21,PADD 1,3.45
2022-11-21,PADD 2,3.462
2022-11-21,PADD 3,3.08
2022-11-21,PADD 4,3.636
2022-11-21,PADD 5,4.538
2022-11-28,PADD 1,3.382
2022-11-28,PADD 2,3.32
2022-11-28,PADD 3,2.971
2022-11-28,PADD 4,3.539
2022-11-28,PADD 5,4.374
2022-12-05,PADD 1,3.276
2022-12-05,PADD 2,3.166
2022-12-05,PADD 3,2.863
2022-12-05,PADD 4,3.404
2022-12-05,PADD 5,4.214
2022-12-12,PADD 1,3.156
2022-12-12,PADD 2,2.987
2022-12-12,PADD 3,2.755
2022-12-12,PADD 4,3.227
2022-12-12,PADD 5,3.975
2022-12-19,PADD 1,3.05
2022-12-19,PADD 2,2.862
2022-12-19,PADD 3,2.674
2022-12-19,PADD 4,3.086
2022-12-19,PADD 5,3.815
2022-12-26,PADD 1,3.008
2022-12-26,PADD 2,2.856
2022-12-26,PADD 3,2.704
2022-12-26,PADD 4,3.002
2022-12-26,PADD 5,3.741
2023-01-02,PADD 1,3.172
2023-01-02,PADD 2,3.025
2023-01-02,PADD 3,2.915
2023-01-02,PADD 4,3.043
2023-01-02,PADD 5,3.727
2023-01-09,PADD 1,3.185
2023-01-09,PADD 2,3.118
2023-01-09,PADD 3,2.927
2023-01-09,PADD 4,3.122
2023-01-09,PADD 5,3.736
2023-01-16,PADD 1,3.252
2023-01-16,PADD 2,3.166
2023-01-16,PADD 3,3.001
2023-01-16,PADD 4,3.292
2023-01-16,PADD 5,3.724
2023-01-23,PADD 1,3.376
2023-01-23,PADD 2,3.279
2023-01-23,PADD 3,3.115
2023-01-23,PADD 4,3.434
2023-01-23,PADD 5,3.781
2023-01-30,PADD 1,3.469
2023-01-30,PADD 2,3.345
2023-01-30,PADD 3,3.181
2023-01-30,PADD 4,3.544
2023-01-30,PADD 5,3.845
2023-02-06,PADD 1,3.411
2023-02-06,PADD 2,3.259
2023-02-06,PADD 3,3.115
2023-02-06,PADD 4,3.694
2023-02-06,PADD 5,3.841
2023-02-13,PADD 1,3.344
2023-02-13,PADD 2,3.197
2023-02-13,PADD 3,3.066
2023-02-13,PADD 4,3.765
2023-02-13,PADD 5,3.851
2023-02-20,PADD 1,3.292
2023-02-20,PADD 2,3.191
2023-02-20,PADD 3,3.045
2023-02-20,PADD 4,3.826
2023-02-20,PADD 5,3.902
2023-02-27,PADD 1,3.26
2023-02-27,PADD 2,3.131
2023-02-27,PADD 3,2.961
2023-02-27,PADD 4,3.782
2023-02-27,PADD 5,3.953
2023-03-06,PADD 1,3.237
2023-03-06,PADD 2,3.24
2023-03-06,PADD 3,3.002
2023-03-06,PADD 4,3.742
2023-03-06,PADD 5,3.991
